secretWord,hint
Funar sin pruebas,Acusar
Infidelidad emocional,Mensajear
Celos "justificados",Sospechar
Revisar el celular,Espiar
Gaslighting,Confundir
Love bombing,Saturar
Ghosting,Ignorar
Salir con el ex de un amigo,Traicionar
Mentir en el CV,Exagerar
Nepotismo,Favorecer
Apropiación cultural,Imitar
Cancelar a alguien en redes,Exponer
Poliamor no consensuado,Engañar
Relación abierta unilateral,Imponer
Manipulación emocional,Manipular
Dependencia emocional,Aferrarse
Stalkear a tu ex,Observar
Piratería digital,Descargar
OnlyFans en pareja,Exhibir
Dividir la cuenta 50/50,Dividir
Bloquear después de discutir,Cortar
Rebote amoroso,Reemplazar
Celos retroactivos,Reclamar
Vivir con los suegros,Convivir
Favoritismo familiar,Preferir
Amistad con tensión sexual,Coquetear
Mentira piadosa,Proteger
Compartir contraseñas,Compartir
Relación tóxica,Controlar
Terapia obligada,Forzar
Evasión de pago,Evadir
Funa anónima,Ocultar
Cultura de la cancelación,Boicotear
Meritocracia,Competir
Lenguaje inclusivo,Nombrar
Propina obligatoria,Pagar
Aborto,Decidir
Eutanasia,Terminar
Renta básica universal,Subvencionar
Criptomonedas,Especular
Censura artística,Limitar
Inteligencia artificial reemplazando trabajos,Automatizar
Voto obligatorio,Obligar
Privacidad digital,Proteger
Exponer chats privados,Filtrar
Humor ofensivo,Provocar
Filtrar secretos privados,Revelar
Mantener "ganado",Acumular
Chantaje emocional,Presionar
Invalidar límites personales,Invadir
